Pais;Provincia;Pontos;Preco
FR       ;Alsace           ;87;24
FR       ;Alsace           ;87;27
FR       ;Alsace           ;87;30
FR       ;Beaujolais       ;86;14
FR       ;Bordeaux         ;85;15
FR       ;Champagne        ;86;58
FR       ;Burgundy         ;86;24
FR       ;Champagne        ;86;55
FR       ;Beaujolais       ;88;20
FR       ;Alsace           ;92;80
FR       ;Alsace           ;91;13
FR       ;Alsace           ;91;20
FR       ;Alsace           ;90;112
FR       ;Alsace           ;90;84
FR       ;Beaujolais       ;91;
FR       ;Burgundy         ;88;27
FR       ;Burgundy         ;87;35
FR       ;Rhône Valley     ;90;16
FR       ;Rhône Valley     ;90;32
FR       ;Southwest France ;89;13
FR       ;Burgundy         ;87;30
FR       ;Bordeaux         ;86;
FR       ;Languedoc-Roussil;83;16
FR       ;Burgundy         ;96;630
FR       ;Burgundy         ;95;350
FR       ;Burgundy         ;95;110
FR       ;Burgundy         ;95;380
FR       ;Bordeaux         ;89;20
FR       ;Loire Valley     ;88;14
FR       ;Champagne        ;92;69
FR       ;Champagne        ;92;100
FR       ;Champagne        ;92;60
FR       ;Burgundy         ;92;73
FR       ;Bordeaux         ;92;65
FR       ;Rhône Valley     ;87;13
FR       ;Provence         ;87;20
FR       ;Champagne        ;91;70
FR       ;Bordeaux         ;89;14
FR       ;Bordeaux         ;89;14
FR       ;Alsace           ;92;54
FR       ;Alsace           ;92;45
FR       ;Alsace           ;92;30
FR       ;Alsace           ;92;39
FR       ;Provence         ;91;65
FR       ;Provence         ;91;
FR       ;Provence         ;91;20
FR       ;Provence         ;91;25
FR       ;Burgundy         ;85;15
FR       ;France Other     ;85;10
FR       ;Burgundy         ;85;40
FR       ;Burgundy         ;85;10
FR       ;Alsace           ;87;12
FR       ;Champagne        ;92;101
FR       ;Bordeaux         ;90;35
FR       ;Bordeaux         ;90;20
FR       ;Bordeaux         ;90;45
FR       ;Southwest France ;86;9
FR       ;Beaujolais       ;86;23
FR       ;Beaujolais       ;86;12
FR       ;Alsace           ;90;33
FR       ;Burgundy         ;90;70
FR       ;Burgundy         ;90;
FR       ;Bordeaux         ;90;45
FR       ;France Other     ;87;23
FR       ;Bordeaux         ;87;16
FR       ;Bordeaux         ;87;14
FR       ;Champagne        ;87;40
FR       ;Bordeaux         ;87;20
FR       ;Bordeaux         ;85;11
FR       ;Champagne        ;85;15
FR       ;Bordeaux         ;85;10
FR       ;Bordeaux         ;85;10
FR       ;Southwest France ;88;
FR       ;Southwest France ;88;12
FR       ;Southwest France ;88;26
FR       ;Loire Valley     ;88;16
FR       ;Loire Valley     ;88;21
FR       ;Languedoc-Roussil;85;12
FR       ;France Other     ;85;25
FR       ;Loire Valley     ;94;60
FR       ;Southwest France ;90;32
FR       ;France Other     ;90;
FR       ;Bordeaux         ;84;18
FR       ;Bordeaux         ;84;20
FR       ;Bordeaux         ;83;12
FR       ;Bordeaux         ;83;30
FR       ;Burgundy         ;88;10
FR       ;Burgundy         ;88;70
FR       ;Burgundy         ;88;40
FR       ;Burgundy         ;87;32
FR       ;Loire Valley     ;89;20
FR       ;Southwest France ;90;28
FR       ;Southwest France ;90;13
FR       ;Provence         ;90;23
FR       ;Bordeaux         ;86;
FR       ;Bordeaux         ;86;14
FR       ;Provence         ;87;15
FR       ;Provence         ;87;40
FR       ;Provence         ;86;15
FR       ;Provence         ;86;24
FR       ;Alsace           ;93;31
FR       ;Alsace           ;93;
FR       ;Alsace           ;92;45
FR       ;Provence         ;92;40
FR       ;Provence         ;92;
FR       ;Southwest France ;94;25
FR       ;Rhône Valley     ;94;180
FR       ;Burgundy         ;94;135
FR       ;Burgundy         ;94;90
FR       ;Burgundy         ;93;132
FR       ;Loire Valley     ;85;19
FR       ;Southwest France ;92;35
FR       ;Southwest France ;92;35
FR       ;Bordeaux         ;85;20
FR       ;Bordeaux         ;85;
FR       ;Bordeaux         ;98;380
FR       ;Bordeaux         ;96;200
FR       ;Bordeaux         ;96;1200
FR       ;Bordeaux         ;96;195
FR       ;Bordeaux         ;96;1300
FR       ;Bordeaux         ;95;163
FR       ;Bordeaux         ;88;45
FR       ;Bordeaux         ;88;30
FR       ;Bordeaux         ;88;45
FR       ;Bordeaux         ;88;
FR       ;Bordeaux         ;88;58
FR       ;Bordeaux         ;87;19
FR       ;Bordeaux         ;87;15
FR       ;France Other     ;85;10
FR       ;Loire Valley     ;85;13
FR       ;Bordeaux         ;85;20
FR       ;Bordeaux         ;85;20
FR       ;Rhône Valley     ;90;126
FR       ;Rhône Valley     ;90;63
FR       ;Bordeaux         ;92;
FR       ;Bordeaux         ;92;135
FR       ;Bordeaux         ;92;
FR       ;Bordeaux         ;92;49
FR       ;Loire Valley     ;84;15
FR       ;Bordeaux         ;84;12
FR       ;Bordeaux         ;84;25
FR       ;Bordeaux         ;84;
FR       ;Bordeaux         ;84;23
FR       ;Bordeaux         ;84;15
FR       ;Bordeaux         ;91;35
FR       ;Bordeaux         ;91;26
FR       ;Bordeaux         ;91;
FR       ;Beaujolais       ;85;19
FR       ;Champagne        ;85;50
FR       ;Beaujolais       ;85;
FR       ;Beaujolais       ;85;20
FR       ;Alsace           ;84;23
FR       ;Bordeaux         ;94;74
FR       ;Bordeaux         ;93;45
